1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,SSP,Version,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0.293779,0.296588,0.280706,0.277973,0.278664,,,,,0.281407,0.275962,0.276038,0.2761,SSP1,HighBiocharCost baseline,USA,missing,missing,missing,missing,missing,FoodDemand_NonStaples,missing,missing,missing,missing,2005$/Mcal/day
0.0244492,0.0248862,0.0247727,0.025015,0.02469,,,,,0.0248423,0.0233558,0.0233431,0.0234046,SSP1,HighBiocharCost baseline,USA,missing,missing,missing,missing,missing,FoodDemand_Staples,missing,missing,missing,missing,2005$/Mcal/day
0.358317,0.327797,0.275612,0.272701,0.266135,,,,,0.196207,0.180384,0.170998,0.163335,SSP1,HighBiocharCost baseline,Africa_Eastern,missing,missing,missing,missing,missing,FoodDemand_NonStaples,missing,missing,missing,missing,2005$/Mcal/day
0.0394483,0.0377796,0.0368752,0.0376583,0.0373556,,,,,0.035588,0.0341361,0.034098,0.0341543,SSP1,HighBiocharCost baseline,Africa_Eastern,missing,missing,missing,missing,missing,FoodDemand_Staples,missing,missing,missing,missing,2005$/Mcal/day
0.319041,0.325783,0.307807,0.305158,0.30476,,,,,0.285049,0.274148,0.270752,0.267414,SSP1,HighBiocharCost baseline,Africa_Northern,missing,missing,missing,missing,missing,FoodDemand_NonStaples,missing,missing,missing,missing,2005$/Mcal/day
0.0274117,0.027996,0.0276877,0.0276206,0.0275087,,,,,0.0279159,0.0258799,0.0258524,0.0258777,SSP1,HighBiocharCost baseline,Africa_Northern,missing,missing,missing,missing,missing,FoodDemand_Staples,missing,missing,missing,missing,2005$/Mcal/day
0.288213,0.255144,0.232723,0.228408,0.22047,,,,,0.167888,0.154202,0.145248,0.137881,SSP1,HighBiocharCost baseline,Africa_Southern,missing,missing,missing,missing,missing,FoodDemand_NonStaples,missing,missing,missing,missing,2005$/Mcal/day
0.0420758,0.0417689,0.0442835,0.0436995,0.0430921,,,,,0.0411798,0.040229,0.0402365,0.040308,SSP1,HighBiocharCost baseline,Africa_Southern,missing,missing,missing,missing,missing,FoodDemand_Staples,missing,missing,missing,missing,2005$/Mcal/day
0.287688,0.285933,0.259587,0.247684,0.236302,,,,,0.16507,0.15243,0.14511,0.139203,SSP1,HighBiocharCost baseline,Africa_Western,missing,missing,missing,missing,missing,FoodDemand_NonStaples,missing,missing,missing,missing,2005$/Mcal/day
0.0511857,0.0500051,0.0526452,0.0547935,0.0543523,,,,,0.0522288,0.0511637,0.0512062,0.051283,SSP1,HighBiocharCost baseline,Africa_Western,missing,missing,missing,missing,missing,FoodDemand_Staples,missing,missing,missing,missing,2005$/Mcal/day
0.317671,0.337982,0.301548,0.277641,0.278903,,,,,0.282248,0.278213,0.278382,0.278339,SSP1,HighBiocharCost baseline,Australia_NZ,missing,missing,missing,missing,missing,FoodDemand_NonStaples,missing,missing,missing,missing,2005$/Mcal/day
0.0368691,0.035307,0.0375386,0.0353512,0.0346166,,,,,0.0338695,0.0321453,0.0320383,0.0320654,SSP1,HighBiocharCost baseline,Australia_NZ,missing,missing,missing,missing,missing,FoodDemand_Staples,missing,missing,missing,missing,2005$/Mcal/day
0.147882,0.155069,0.147327,0.143279,0.143367,,,,,0.135958,0.131258,0.129375,0.127341,SSP1,HighBiocharCost baseline,Brazil,missing,missing,missing,missing,missing,FoodDemand_NonStaples,missing,missing,missing,missing,2005$/Mcal/day
0.0219494,0.020978,0.0207786,0.0208362,0.0204939,,,,,0.0201999,0.0194956,0.0194322,0.0193427,SSP1,HighBiocharCost baseline,Brazil,missing,missing,missing,missing,missing,FoodDemand_Staples,missing,missing,missing,missing,2005$/Mcal/day
0.281024,0.270117,0.260232,0.248614,0.248771,,,,,0.247182,0.24097,0.240416,0.239684,SSP1,HighBiocharCost baseline,Canada,missing,missing,missing,missing,missing,FoodDemand_NonStaples,missing,missing,missing,missing,2005$/Mcal/day
0.0292325,0.0265061,0.0278743,0.0298668,0.0295139,,,,,0.0297431,0.0281611,0.0281007,0.0281278,SSP1,HighBiocharCost baseline,Canada,missing,missing,missing,missing,missing,FoodDemand_Staples,missing,missing,missing,missing,2005$/Mcal/day
0.249297,0.240648,0.202197,0.189198,0.187383,,,,,0.170236,0.163679,0.15996,0.156273,SSP1,HighBiocharCost baseline,Central America and Caribbean,missing,missing,missing,missing,missing,FoodDemand_NonStaples,missing,missing,missing,missing,2005$/Mcal/day
0.0333039,0.0370175,0.035171,0.0345356,0.0342779,,,,,0.0339479,0.0324022,0.0323144,0.0322924,SSP1,HighBiocharCost baseline,Central America and Caribbean,missing,missing,missing,missing,missing,FoodDemand_Staples,missing,missing,missing,missing,2005$/Mcal/day
0.275512,0.270828,0.254056,0.24553,0.246391,,,,,0.242185,0.237482,0.236255,0.235183,SSP1,HighBiocharCost baseline,Central Asia,missing,missing,missing,missing,missing,FoodDemand_NonStaples,missing,missing,missing,missing,2005$/Mcal/day
0.0218172,0.0234627,0.0242295,0.0257019,0.025404,,,,,0.025613,0.0242442,0.0240256,0.0239614,SSP1,HighBiocharCost baseline,Central Asia,missing,missing,missing,missing,missing,FoodDemand_Staples,missing,missing,missing,missing,2005$/Mcal/day
0.439621,0.495362,0.482543,0.484343,0.480516,,,,,0.454335,0.441458,0.435398,0.430017,SSP1,HighBiocharCost baseline,China,missing,missing,missing,missing,missing,FoodDemand_NonStaples,missing,missing,missing,missing,2005$/Mcal/day
0.0569407,0.0601102,0.0594053,0.0580726,0.0571292,,,,,0.0570345,0.0541398,0.0528704,0.052107,SSP1,HighBiocharCost baseline,China,missing,missing,missing,missing,missing,FoodDemand_Staples,missing,missing,missing,missing,2005$/Mcal/day
0.212863,0.204224,0.191116,0.180005,0.179823,,,,,0.179914,0.175245,0.174794,0.174498,SSP1,HighBiocharCost baseline,EU-12,missing,missing,missing,missing,missing,FoodDemand_NonStaples,missing,missing,missing,missing,2005$/Mcal/day
0.0247164,0.0252845,0.0252445,0.0249545,0.0246624,,,,,0.0254537,0.0235146,0.0233315,0.0233708,SSP1,HighBiocharCost baseline,EU-12,missing,missing,missing,missing,missing,FoodDemand_Staples,missing,missing,missing,missing,2005$/Mcal/day
0.283927,0.274131,0.260014,0.256691,0.256859,,,,,0.259174,0.252167,0.252,0.251863,SSP1,HighBiocharCost baseline,EU-15,missing,missing,missing,missing,missing,FoodDemand_NonStaples,missing,missing,missing,missing,2005$/Mcal/day
0.0304497,0.0287889,0.029051,0.0290193,0.028983,,,,,0.0311901,0.028612,0.028491,0.0286396,SSP1,HighBiocharCost baseline,EU-15,missing,missing,missing,missing,missing,FoodDemand_Staples,missing,missing,missing,missing,2005$/Mcal/day
0.154023,0.178845,0.179849,0.164496,0.164956,,,,,0.165682,0.161827,0.161302,0.160742,SSP1,HighBiocharCost baseline,Europe_Eastern,missing,missing,missing,missing,missing,FoodDemand_NonStaples,missing,missing,missing,missing,2005$/Mcal/day
0.0184993,0.0184653,0.0200532,0.0196578,0.0195861,,,,,0.0199143,0.0188485,0.0187768,0.0187454,SSP1,HighBiocharCost baseline,Europe_Eastern,missing,missing,missing,missing,missing,FoodDemand_Staples,missing,missing,missing,missing,2005$/Mcal/day
0.2827,0.287203,0.264966,0.263805,0.265417,,,,,0.26431,0.255823,0.253785,0.252242,SSP1,HighBiocharCost baseline,Europe_Non_EU,missing,missing,missing,missing,missing,FoodDemand_NonStaples,missing,missing,missing,missing,2005$/Mcal/day
0.0299436,0.0303717,0.030289,0.0304262,0.0299895,,,,,0.03081,0.0283728,0.0281881,0.0282432,SSP1,HighBiocharCost baseline,Europe_Non_EU,missing,missing,missing,missing,missing,FoodDemand_Staples,missing,missing,missing,missing,2005$/Mcal/day
0.391914,0.345954,0.344846,0.343113,0.343435,,,,,0.343529,0.338535,0.338132,0.337666,SSP1,HighBiocharCost baseline,European Free Trade Association,missing,missing,missing,missing,missing,FoodDemand_NonStaples,missing,missing,missing,missing,2005$/Mcal/day
0.0485506,0.0429899,0.040583,0.0367602,0.0362933,,,,,0.0361734,0.0342998,0.0341013,0.0341068,SSP1,HighBiocharCost baseline,European Free Trade Association,missing,missing,missing,missing,missing,FoodDemand_Staples,missing,missing,missing,missing,2005$/Mcal/day
0.141619,0.143889,0.124508,0.114106,0.114042,,,,,0.105938,0.100871,0.0989967,0.0976322,SSP1,HighBiocharCost baseline,India,missing,missing,missing,missing,missing,FoodDemand_NonStaples,missing,missing,missing,missing,2005$/Mcal/day
