1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,SSP,Version,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0.0,0.0,0.0,0.0,0.0,,,,0.0457557,0.0505614,0.0540249,0.055807,0.055892,SSP1,HighCarbonPersistence baseline,USA,missing,missing,missing,missing,missing,missing,missing,missing,CornC4_ArkWhtRedR_IRR_biochar,missing,
0.5,0.5,0.5,0.5,0.501855,,,,0.474651,0.493797,0.508315,0.516108,0.518109,SSP1,HighCarbonPersistence baseline,USA,missing,missing,missing,missing,missing,missing,missing,missing,CornC4_ArkWhtRedR_IRR_hi,missing,
0.5,0.5,0.5,0.5,0.498145,,,,0.479593,0.455642,0.43766,0.428085,0.425999,SSP1,HighCarbonPersistence baseline,USA,missing,missing,missing,missing,missing,missing,missing,missing,CornC4_ArkWhtRedR_IRR_lo,missing,
0.0,0.0,0.0,0.0,0.0,,,,0.0465462,0.0517589,0.0555946,0.0574932,0.0575802,SSP1,HighCarbonPersistence baseline,USA,missing,missing,missing,missing,missing,missing,missing,missing,CornC4_ArkWhtRedR_RFD_biochar,missing,
0.5,0.5,0.5,0.5,0.517814,,,,0.484387,0.505647,0.522023,0.53013,0.532227,SSP1,HighCarbonPersistence baseline,USA,missing,missing,missing,missing,missing,missing,missing,missing,CornC4_ArkWhtRedR_RFD_hi,missing,
0.5,0.5,0.5,0.5,0.482186,,,,0.469067,0.442594,0.422382,0.412376,0.410193,SSP1,HighCarbonPersistence baseline,USA,missing,missing,missing,missing,missing,missing,missing,missing,CornC4_ArkWhtRedR_RFD_lo,missing,
0.0,0.0,0.0,0.0,0.0,,,,0.0297249,0.0310331,0.0308349,0.0291354,0.0263113,SSP1,HighCarbonPersistence baseline,USA,missing,missing,missing,missing,missing,missing,missing,missing,CornC4_California_IRR_biochar,missing,
0.5,0.5,0.5,0.5,0.451183,,,,0.369997,0.373456,0.369372,0.356113,0.335635,SSP1,HighCarbonPersistence baseline,USA,missing,missing,missing,missing,missing,missing,missing,missing,CornC4_California_IRR_hi,missing,
0.5,0.5,0.5,0.5,0.548817,,,,0.600278,0.595511,0.599793,0.614752,0.638053,SSP1,HighCarbonPersistence baseline,USA,missing,missing,missing,missing,missing,missing,missing,missing,CornC4_California_IRR_lo,missing,
0.0,0.0,0.0,0.0,0.0,,,,0.0465462,0.051759,0.0555947,0.0574933,0.0575803,SSP1,HighCarbonPersistence baseline,USA,missing,missing,missing,missing,missing,missing,missing,missing,CornC4_California_RFD_biochar,missing,
0.5,0.5,0.5,0.5,0.517814,,,,0.484387,0.505647,0.522023,0.53013,0.532227,SSP1,HighCarbonPersistence baseline,USA,missing,missing,missing,missing,missing,missing,missing,missing,CornC4_California_RFD_hi,missing,
0.5,0.5,0.5,0.5,0.482186,,,,0.469067,0.442594,0.422382,0.412376,0.410193,SSP1,HighCarbonPersistence baseline,USA,missing,missing,missing,missing,missing,missing,missing,missing,CornC4_California_RFD_lo,missing,
0.0,0.0,0.0,0.0,0.0,,,,0.0442802,0.0482841,0.0511082,0.052568,0.052579,SSP1,HighCarbonPersistence baseline,USA,missing,missing,missing,missing,missing,missing,missing,missing,CornC4_Caribbean_IRR_biochar,missing,
0.5,0.5,0.5,0.5,0.510869,,,,0.465138,0.482891,0.496254,0.503856,0.505717,SSP1,HighCarbonPersistence baseline,USA,missing,missing,missing,missing,missing,missing,missing,missing,CornC4_Caribbean_IRR_hi,missing,
0.5,0.5,0.5,0.5,0.489131,,,,0.490582,0.468825,0.452638,0.443576,0.441704,SSP1,HighCarbonPersistence baseline,USA,missing,missing,missing,missing,missing,missing,missing,missing,CornC4_Caribbean_IRR_lo,missing,
0.0,0.0,0.0,0.0,0.0,,,,0.0451105,0.0498683,0.0533194,0.0550862,0.0551667,SSP1,HighCarbonPersistence baseline,USA,missing,missing,missing,missing,missing,missing,missing,missing,CornC4_GreatBasin_IRR_biochar,missing,
