1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,SSP,Version,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0.0,0.0,0.0,0.0,0.0,,,,0.00851746,0.0233141,0.0215204,0.0143316,0.00799735,SSP1,LowBiocharSoilN2O baseline,USA,refining,biomass liquids,BTL with hydrogen,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0481242,,,,0.1062009,0.27929170000000003,0.4486008,0.55920213,0.61549428,SSP1,LowBiocharSoilN2O baseline,USA,refining,biomass liquids,FT biofuels,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0123897,0.0358294,0.251892,0.3017343,,,,0.3344626,0.5207174999999999,0.6603991,0.73177932,0.7578099699999999,SSP1,LowBiocharSoilN2O baseline,USA,refining,biomass liquids,biodiesel,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,,,,0.204844,0.799257,1.397792,1.798189,1.9939230000000001,SSP1,LowBiocharSoilN2O baseline,USA,refining,biomass liquids,cellulosic ethanol,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.325437,0.941609,1.31053,1.614182,,,,1.310353,1.750037,2.1215800000000002,2.3515943,2.4559437,SSP1,LowBiocharSoilN2O baseline,USA,refining,biomass liquids,corn ethanol,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,,,,0.0482241,0.2033031,0.36147319999999994,0.4663646,0.5163462,SSP1,LowBiocharSoilN2O baseline,USA,refining,coal to liquids,coal to liquids,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,,,,0.104938,0.46660199999999996,0.857297,1.1515330000000001,1.3324989,SSP1,LowBiocharSoilN2O baseline,USA,refining,gas to liquids,gas to liquids,refining,missing,missing,missing,missing,missing,missing,EJ
31.766,39.1979,34.8561,33.9523,35.01941,,,,27.86104,25.65145,23.885510000000004,22.934179,22.533945000000003,SSP1,LowBiocharSoilN2O baseline,USA,refining,oil refining,oil refining,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,,,,7.16569E-4,0.00108146,0.00138061,0.00145509,0.00139635,SSP1,LowBiocharSoilN2O baseline,Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.00145865,,,,0.06561092,0.11349596,0.169379856,0.220507924,0.2597365286,SSP1,LowBiocharSoilN2O baseline,Africa_Eastern,refining,biomass liquids,FT biofuels,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,5.29305E-8,,,,2.90619207E-5,8.069195679999999E-5,1.771267698E-4,2.9114093293E-4,4.162013139E-4,SSP1,LowBiocharSoilN2O baseline,Africa_Eastern,refining,biomass liquids,biodiesel,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,,,,0.32051,0.5472335,0.8059837,1.0357096300000002,1.20387468,SSP1,LowBiocharSoilN2O baseline,Africa_Eastern,refining,biomass liquids,cellulosic ethanol,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,1.25591E-4,1.67404E-4,0.002612781,,,,0.041093929900000006,0.0645356842,0.0903380387,0.11333863908,0.131152839,SSP1,LowBiocharSoilN2O baseline,Africa_Eastern,refining,biomass liquids,corn ethanol,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,,,,0.025511322,0.046349246,0.070346042,0.09359584700000001,0.112612149,SSP1,LowBiocharSoilN2O baseline,Africa_Eastern,refining,coal to liquids,coal to liquids,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,,,,0.02730593,0.05090236,0.082208765,0.11886468,0.156699915,SSP1,LowBiocharSoilN2O baseline,Africa_Eastern,refining,gas to liquids,gas to liquids,refining,missing,missing,missing,missing,missing,missing,EJ
0.336372,0.5719,0.797038,0.978095,1.361538,,,,2.033927,2.130357,2.206121,2.3322255999999997,2.5003942,SSP1,LowBiocharSoilN2O baseline,Africa_Eastern,refining,oil refining,oil refining,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,,,,0.00137818,0.00164429,0.00150779,0.00108904,7.19981E-4,SSP1,LowBiocharSoilN2O baseline,Africa_Northern,refining,biomass liquids,BTL with hydrogen,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.00285716,,,,0.02370729,0.03311145,0.04150937,0.046249747,0.047327276,SSP1,LowBiocharSoilN2O baseline,Africa_Northern,refining,biomass liquids,FT biofuels,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,1.72987E-4,,,,0.0023210569999999996,0.003471801,0.0046802095,0.0057768729,0.006670133579999999,SSP1,LowBiocharSoilN2O baseline,Africa_Northern,refining,biomass liquids,biodiesel,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,,,,0.06959055,0.1001698,0.12842669,0.1444112,0.14703692999999998,SSP1,LowBiocharSoilN2O baseline,Africa_Northern,refining,biomass liquids,cellulosic ethanol,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,8.70944E-4,,,,0.012204378,0.018464409,0.024907145999999998,0.030150269,0.033917717699999995,SSP1,LowBiocharSoilN2O baseline,Africa_Northern,refining,biomass liquids,corn ethanol,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,,,,0.011769483,0.018541521999999998,0.024729259,0.028941844,0.030532764,SSP1,LowBiocharSoilN2O baseline,Africa_Northern,refining,coal to liquids,coal to liquids,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,,,,0.04276295,0.07403559000000001,0.10602191999999999,0.13160431,0.14742823900000002,SSP1,LowBiocharSoilN2O baseline,Africa_Northern,refining,gas to liquids,gas to liquids,refining,missing,missing,missing,missing,missing,missing,EJ
2.02551,2.83823,3.5323,3.90328,4.612139,,,,5.808320999999999,5.999058,6.142708,6.372797,6.5421819,SSP1,LowBiocharSoilN2O baseline,Africa_Northern,refining,oil refining,oil refining,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,,,,3.0322E-4,3.6038E-4,4.31188E-4,4.66885E-4,4.43601E-4,SSP1,LowBiocharSoilN2O baseline,Africa_Southern,refining,biomass liquids,BTL with hydrogen,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.00127927,,,,0.03256637,0.056320560000000006,0.08576209,0.115027532,0.1385755863,SSP1,LowBiocharSoilN2O baseline,Africa_Southern,refining,biomass liquids,FT biofuels,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,7.12816E-4,,,,0.024221036,0.045508197,0.075085323,0.107460518,0.1376461957,SSP1,LowBiocharSoilN2O baseline,Africa_Southern,refining,biomass liquids,biodiesel,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,,,,0.18890420000000002,0.32392889999999996,0.48739699000000003,0.64445193,0.764704,SSP1,LowBiocharSoilN2O baseline,Africa_Southern,refining,biomass liquids,cellulosic ethanol,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.00146497,0.01055787,,,,0.08918087200000001,0.13192415600000001,0.17899656,0.2232034807,0.258338029,SSP1,LowBiocharSoilN2O baseline,Africa_Southern,refining,biomass liquids,corn ethanol,refining,missing,missing,missing,missing,missing,missing,EJ
